player,minutes,estimated_value
Marc Guéhi,2969,€54.2M
Marc Cucurella,2718,€39.4M
Marcos Senesi,1014,€20.4M
Marcus Tavernier,1670,€24.4M
Marcus Rashford,978,€53.6M
Mark Flekken,3005,€13.6M
Martin Dúbravka,900,€1.3M
Mateo Kovačić,2049,€25.3M
Mateus Fernandes,2640,€22.5M
Matheus Nunes,1494,€42.3M
Matheus Cunha,2425,€62.6M
Matt Doherty,1965,€4.2M
Matthijs de Ligt,2123,€52.2M
Matty Cash,1800,€32.9M
Matz Sels,3150,€9.1M
Max Kilman,3078,€36.7M
Maxence Lacroix,2846,€27.7M
Micky van de Ven,950,€61.8M
Mikel Merino,1418,€40.5M
Mikkel Damsgaard,2658,€28.6M
Mohamed Salah,3101,€38.5M
Mohammed Kudus,2421,€61.7M
Moisés Caicedo,3081,€80.7M
Morgan Gibbs-White,2541,€61.7M
Morgan Rogers,2853,€69M
Murillo,3008,€68.4M
Myles Lewis-Skelly,1168,€34.9M
Nathan Collins,3150,€33.3M
Neco Williams,2324,€23.4M
Nick Pope,2250,€11.7M
Nicolas Jackson,2185,€66.2M
Nicolás Domínguez,1734,€18.8M
Nikola Milenković,3060,€38M
Noni Madueke,1813,€51.6M
Noussair Mazraoui,2639,€43M
Nélson Semedo,2661,€8.4M
Ola Aina,2733,€18.8M
Oliver Skipp,996,€17M
Ollie Watkins,2333,€61.4M
Omar Marmoush,998,€79.1M
Orel Mangala,1261,€24.4M
Pape Matar Sarr,1726,€50.8M
Pau Torres,1819,€45.3M
Paul Onuachu,1029,€12.7M
Pedro Porro,2463,€55.9M
Pedro Neto,2013,€60.6M
Pervis Estupiñán,2222,€37.1M
Phil Foden,1693,€105.7M
Raúl Jiménez,2224,€5.1M
Rico Lewis,1818,€62.7M
Robert Sánchez,2610,€24.9M
Rodrigo Muniz,964,€8.2M
Rodrigo Bentancur,1518,€31.5M
Ryan Yates,1874,€18.3M
Ryan Christie,2117,€16.2M
Ryan Gravenberch,2921,€85.3M
Ryan Manning,1459,€3.9M
Rúben Dias,2001,€58.5M
Sam Morsy,2486,€1.3M
Sammie Szmodics,979,€14.1M
Sander Berge,2091,€27.8M
Sandro Tonali,2360,€52.9M
Santiago Bueno,1683,€11.2M
Saša Lukić,2169,€12.1M
Sepp van den Berg,2316,€26.4M
Simon Adingra,956,€34M
Stefan Ortega,1100,€5.8M
Stephy Mavididi,1615,€12.9M
Sávio,1734,€74.8M
Taylor Harwood-Bellis,2654,€29.9M
Timothy Castagne,1649,€17.4M
Tomáš Souček,2330,€23.2M
Tosin Adarabioyo,1229,€24.3M
Toti Gomes,2344,€18.6M
Trent Alexander-Arnold,2296,€55.8M
Trevoh Chalobah,1060,€20.1M
Tyler Adams,1710,€24.4M
Tyler Dibling,1742,€32.7M
Tyrick Mitchell,2942,€24.6M
Tyrone Mings,1051,€5.8M
Valentino Livramento,2570,€49.3M
Virgil van Dijk,3150,€24.3M
Vitaliy Mykolenko,2812,€33.5M
Vitaly Janelt,2254,€27.1M
Wes Burns,926,€2.1M
Wesley Fofana,1172,€30.3M
Wilfred Ndidi,2147,€20.3M
Will Hughes,1899,€11.1M
William Saliba,2904,€79.5M
Wout Faes,2545,€25M
Yankuba Minteh,1587,€42.6M
Yasin Ayari,1759,€21.4M
Yehor Yarmoliuk,1196,€18M
Yoane Wissa,2650,€31.4M
Youri Tielemans,2997,€41.5M
Yukinari Sugawara,1467,€15.7M
Yves Bissouma,1300,€29.8M
Álex Moreno,955,€11M
İlkay Gündoğan,2050,€12.1M
Łukasz Fabiański,1070,€0.9M
